VGB	ID
1.12772e-04	-7.36594e-13
1.01102e-02	1.53303e-13
2.01127e-02	3.95179e-13
3.01109e-02	6.30856e-13
4.01106e-02	8.32081e-13
5.01100e-02	1.01960e-12
6.01081e-02	1.19758e-12
7.01149e-02	1.37162e-12
8.01252e-02	1.56319e-12
9.01231e-02	1.74129e-12
1.00123e-01	1.97279e-12
1.10122e-01	2.17378e-12
1.20123e-01	2.38574e-12
1.30124e-01	2.66767e-12
1.40124e-01	2.90692e-12
1.50129e-01	3.20888e-12
1.60126e-01	3.56328e-12
1.70121e-01	3.96049e-12
1.80119e-01	4.36974e-12
1.90119e-01	4.79138e-12
2.00120e-01	5.22959e-12
2.10132e-01	5.76889e-12
2.20123e-01	6.29604e-12
2.30153e-01	6.95503e-12
2.40152e-01	7.73430e-12
2.50144e-01	8.42702e-12
2.60138e-01	9.35602e-12
2.70164e-01	1.04480e-11
2.80165e-01	1.15836e-11
2.90154e-01	1.28614e-11
3.00151e-01	1.44517e-11
3.10171e-01	1.60866e-11
3.20162e-01	1.79465e-11
3.30160e-01	2.01364e-11
3.40146e-01	2.25886e-11
3.50139e-01	2.54325e-11
3.60173e-01	2.87027e-11
3.70175e-01	3.24728e-11
3.80167e-01	3.66588e-11
3.90160e-01	4.15575e-11
4.00191e-01	4.72056e-11
4.10178e-01	5.35699e-11
4.20173e-01	6.10057e-11
4.30164e-01	6.94432e-11
4.40161e-01	7.91694e-11
4.50192e-01	9.04058e-11
4.60183e-01	1.03310e-10
4.70176e-01	1.18175e-10
4.80164e-01	1.35173e-10
4.90193e-01	1.54925e-10
5.00181e-01	1.77683e-10
5.10171e-01	2.03758e-10
5.20166e-01	2.33926e-10
5.30195e-01	2.68865e-10
5.40193e-01	3.09166e-10
5.50180e-01	3.55795e-10
5.60180e-01	4.09559e-10
5.70169e-01	4.71661e-10
5.80193e-01	5.43916e-10
5.90191e-01	6.27220e-10
6.00181e-01	7.23532e-10
6.10176e-01	8.35225e-10
6.20208e-01	9.65089e-10
6.30197e-01	1.11521e-09
6.40191e-01	1.28873e-09
6.50185e-01	1.48957e-09
6.60174e-01	1.72294e-09
6.70206e-01	1.99520e-09
6.80198e-01	2.30923e-09
6.90191e-01	2.67471e-09
7.00183e-01	3.09754e-09
7.10214e-01	3.59138e-09
7.20204e-01	4.16280e-09
