VSB	ID	VGB
1.10579e-04	2.31516e-04	2.00014e+00
1.01081e-02	2.19536e-04	2.00013e+00
2.01110e-02	2.07965e-04	2.00013e+00
3.01073e-02	1.96726e-04	2.00013e+00
4.01093e-02	1.85812e-04	2.00013e+00
5.01078e-02	1.75215e-04	2.00013e+00
6.01076e-02	1.64931e-04	2.00012e+00
7.01095e-02	1.55002e-04	2.00012e+00
8.01101e-02	1.45385e-04	2.00013e+00
9.01101e-02	1.36092e-04	2.00013e+00
1.00109e-01	1.27119e-04	2.00012e+00
1.10111e-01	1.18472e-04	2.00013e+00
1.20113e-01	1.10143e-04	2.00012e+00
1.30110e-01	1.02148e-04	2.00013e+00
1.40112e-01	9.44877e-05	2.00013e+00
1.50112e-01	8.71451e-05	2.00013e+00
1.60109e-01	8.01069e-05	2.00012e+00
1.70109e-01	7.34165e-05	2.00012e+00
1.80109e-01	6.70267e-05	2.00012e+00
1.90107e-01	6.09741e-05	2.00012e+00
2.00105e-01	5.52273e-05	2.00012e+00
2.10135e-01	4.98105e-05	2.00012e+00
2.20120e-01	4.47293e-05	2.00012e+00
2.30113e-01	3.99451e-05	2.00012e+00
2.40135e-01	3.54694e-05	2.00012e+00
2.50124e-01	3.13207e-05	2.00013e+00
2.60150e-01	2.74656e-05	2.00012e+00
2.70137e-01	2.39205e-05	2.00012e+00
2.80123e-01	2.06830e-05	2.00012e+00
2.90147e-01	1.77230e-05	2.00012e+00
3.00135e-01	1.50630e-05	2.00012e+00
3.10119e-01	1.26853e-05	2.00012e+00
3.20150e-01	1.05610e-05	2.00012e+00
3.30135e-01	8.70236e-06	2.00012e+00
3.40123e-01	7.08503e-06	2.00012e+00
3.50151e-01	5.69081e-06	2.00012e+00
3.60141e-01	4.51642e-06	2.00012e+00
3.70126e-01	3.53382e-06	2.00012e+00
3.80148e-01	2.72533e-06	2.00012e+00
3.90140e-01	2.07347e-06	2.00012e+00
4.00128e-01	1.55708e-06	2.00012e+00
4.10149e-01	1.15342e-06	2.00012e+00
4.20137e-01	8.44245e-07	2.00012e+00
4.30125e-01	6.11232e-07	2.00012e+00
