VGB	ID	VDS
1.54734e-05	5.61714e-13	1.05741e-02
1.00120e-02	5.58257e-13	1.05694e-02
2.00120e-02	5.55277e-13	1.05692e-02
3.00192e-02	5.51224e-13	1.05721e-02
4.00193e-02	5.72085e-13	1.05740e-02
5.00179e-02	5.79953e-13	1.05703e-02
6.00227e-02	5.78523e-13	1.05762e-02
7.00215e-02	5.99742e-13	1.05716e-02
8.00225e-02	6.04510e-13	1.05701e-02
9.00261e-02	6.09159e-13	1.05679e-02
1.00025e-01	6.38127e-13	1.05661e-02
1.10021e-01	6.68049e-13	1.05666e-02
1.20021e-01	6.91414e-13	1.05661e-02
1.30018e-01	7.22051e-13	1.05648e-02
1.40014e-01	7.38502e-13	1.05635e-02
1.50019e-01	7.77245e-13	1.05620e-02
1.60016e-01	7.97510e-13	1.05648e-02
1.70020e-01	8.47101e-13	1.05647e-02
1.80020e-01	8.72135e-13	1.05620e-02
1.90015e-01	9.47475e-13	1.05629e-02
2.00018e-01	1.03605e-12	1.05624e-02
2.10024e-01	1.10114e-12	1.05598e-02
2.20014e-01	1.17683e-12	1.05603e-02
2.29999e-01	1.27184e-12	1.05576e-02
2.40023e-01	1.38819e-12	1.05546e-02
2.50009e-01	1.51753e-12	1.05525e-02
2.60034e-01	1.65856e-12	1.05541e-02
2.70024e-01	1.83058e-12	1.05519e-02
2.80011e-01	2.02167e-12	1.05542e-02
2.90035e-01	2.26879e-12	1.05503e-02
3.00022e-01	2.50602e-12	1.05554e-02
3.10012e-01	2.82824e-12	1.05513e-02
3.20033e-01	3.19445e-12	1.05522e-02
3.30022e-01	3.59607e-12	1.05555e-02
3.40014e-01	4.05049e-12	1.05535e-02
3.50034e-01	4.60351e-12	1.05526e-02
3.60024e-01	5.23245e-12	1.05495e-02
3.70015e-01	5.94532e-12	1.05481e-02
3.80039e-01	6.78468e-12	1.05464e-02
3.90031e-01	7.79057e-12	1.05511e-02
4.00026e-01	8.89468e-12	1.05554e-02
4.10051e-01	1.01979e-11	1.05534e-02
4.20037e-01	1.17183e-11	1.05540e-02
4.30023e-01	1.34372e-11	1.05532e-02
4.40046e-01	1.54669e-11	1.05534e-02
4.50035e-01	1.77743e-11	1.05543e-02
4.60024e-01	2.04419e-11	1.05518e-02
4.70054e-01	2.35350e-11	1.05482e-02
4.80035e-01	2.70839e-11	1.05383e-02
4.90027e-01	3.12028e-11	1.05391e-02
5.00051e-01	3.59712e-11	1.05407e-02
5.10032e-01	4.15125e-11	1.05433e-02
5.20051e-01	4.78816e-11	1.05414e-02
5.30043e-01	5.52858e-11	1.05459e-02
5.40029e-01	6.38093e-11	1.05468e-02
5.50052e-01	7.38370e-11	1.05449e-02
5.60042e-01	8.53393e-11	1.05401e-02
5.70032e-01	9.86446e-11	1.05408e-02
5.80052e-01	1.14157e-10	1.05414e-02
5.90046e-01	1.31987e-10	1.05385e-02
6.00028e-01	1.52896e-10	1.05390e-02
6.10056e-01	1.77322e-10	1.05415e-02
6.20044e-01	2.04853e-10	1.05360e-02
6.30030e-01	2.37522e-10	1.05351e-02
6.40044e-01	2.75533e-10	1.05345e-02
6.50031e-01	3.18967e-10	1.05335e-02
6.60022e-01	3.70222e-10	1.05293e-02
6.70042e-01	4.29095e-10	1.05289e-02
6.80030e-01	4.98162e-10	1.05244e-02
6.90022e-01	5.78483e-10	1.05308e-02
