VDS	ID	VGB
8.80480e-05	-7.69448e-12	2.00008e+00
1.00933e-02	4.14654e-11	2.00007e+00
2.00940e-02	8.36825e-11	2.00006e+00
3.01060e-02	1.11006e-10	2.00007e+00
4.00994e-02	1.24594e-10	2.00006e+00
5.01005e-02	1.27545e-10	2.00007e+00
6.00952e-02	1.23534e-10	2.00007e+00
7.01009e-02	1.15573e-10	2.00006e+00
8.01080e-02	1.05592e-10	2.00006e+00
9.01020e-02	9.50288e-11	2.00006e+00
1.00101e-01	8.47273e-11	2.00007e+00
1.10107e-01	7.51753e-11	2.00007e+00
1.20101e-01	6.64167e-11	2.00007e+00
1.30112e-01	5.85726e-11	2.00006e+00
1.40107e-01	5.16895e-11	2.00006e+00
1.50110e-01	4.56331e-11	2.00007e+00
1.60104e-01	4.02181e-11	2.00007e+00
1.70104e-01	3.55573e-11	2.00008e+00
1.80099e-01	3.16634e-11	2.00007e+00
1.90102e-01	2.83010e-11	2.00007e+00
2.00106e-01	2.54040e-11	2.00007e+00
2.10115e-01	2.29046e-11	2.00007e+00
2.20109e-01	2.07188e-11	2.00006e+00
2.30137e-01	1.88127e-11	2.00007e+00
2.40135e-01	1.71592e-11	2.00008e+00
2.50127e-01	1.56525e-11	2.00008e+00
2.60118e-01	1.43934e-11	2.00008e+00
2.70148e-01	1.32669e-11	2.00008e+00
2.80142e-01	1.22833e-11	2.00007e+00
2.90131e-01	1.14093e-11	2.00007e+00
3.00121e-01	1.06497e-11	2.00007e+00
3.10154e-01	9.93752e-12	2.00007e+00
3.20146e-01	9.31108e-12	2.00007e+00
3.30143e-01	8.74436e-12	2.00008e+00
3.40144e-01	8.24714e-12	2.00007e+00
3.50135e-01	7.83873e-12	2.00007e+00
3.60161e-01	7.41589e-12	2.00007e+00
3.70149e-01	7.05838e-12	2.00007e+00
3.80145e-01	6.71554e-12	2.00006e+00
3.90139e-01	6.45578e-12	2.00007e+00
4.00171e-01	6.19900e-12	2.00007e+00
4.10162e-01	5.95117e-12	2.00007e+00
4.20157e-01	5.73206e-12	2.00007e+00
4.30148e-01	5.52511e-12	2.00007e+00
4.40139e-01	5.35595e-12	2.00006e+00
4.50167e-01	5.19788e-12	2.00007e+00
4.60162e-01	5.03397e-12	2.00007e+00
4.70154e-01	4.90391e-12	2.00007e+00
4.80145e-01	4.75597e-12	2.00008e+00
4.90170e-01	4.63676e-12	2.00007e+00
5.00166e-01	4.51601e-12	2.00007e+00
5.10151e-01	4.42767e-12	2.00007e+00
5.20146e-01	4.28414e-12	2.00008e+00
5.30184e-01	4.22037e-12	2.00008e+00
5.40166e-01	4.13918e-12	2.00008e+00
5.50168e-01	4.05884e-12	2.00007e+00
5.60162e-01	4.00591e-12	2.00007e+00
5.70158e-01	3.98731e-12	2.00007e+00
5.80179e-01	3.89719e-12	2.00008e+00
5.90179e-01	3.84009e-12	2.00007e+00
6.00164e-01	3.78466e-12	2.00007e+00
6.10155e-01	3.75700e-12	2.00008e+00
6.20187e-01	3.72207e-12	2.00007e+00
6.30178e-01	3.69036e-12	2.00007e+00
6.40179e-01	3.65996e-12	2.00007e+00
6.50168e-01	3.61300e-12	2.00006e+00
6.60164e-01	3.56650e-12	2.00006e+00
6.70197e-01	3.54910e-12	2.00006e+00
6.80184e-01	3.52108e-12	2.00007e+00
6.90174e-01	3.49152e-12	2.00006e+00
7.00163e-01	3.46243e-12	2.00006e+00
7.10194e-01	3.45671e-12	2.00006e+00
7.20177e-01	3.41094e-12	2.00007e+00
7.30175e-01	3.38793e-12	2.00007e+00
7.40173e-01	3.38149e-12	2.00007e+00
7.50196e-01	3.38006e-12	2.00007e+00
7.60186e-01	3.36277e-12	2.00007e+00
7.70175e-01	3.34990e-12	2.00006e+00
7.80173e-01	3.34585e-12	2.00006e+00
7.90170e-01	3.31306e-12	2.00007e+00
8.00200e-01	3.32844e-12	2.00007e+00
8.10191e-01	3.32832e-12	2.00007e+00
8.20171e-01	3.30758e-12	2.00007e+00
8.30165e-01	3.33047e-12	2.00007e+00
8.40190e-01	3.38364e-12	2.00007e+00
8.50200e-01	3.45063e-12	2.00007e+00
8.60189e-01	3.59273e-12	2.00007e+00
8.70179e-01	3.78346e-12	2.00007e+00
8.80171e-01	4.06504e-12	2.00008e+00
8.90208e-01	4.38607e-12	2.00008e+00
9.00199e-01	4.68063e-12	2.00007e+00
9.10184e-01	4.96244e-12	2.00007e+00
9.20181e-01	5.17750e-12	2.00007e+00
9.30208e-01	5.42903e-12	2.00006e+00
9.40194e-01	5.64873e-12	2.00006e+00
9.50190e-01	5.88202e-12	2.00006e+00
9.60182e-01	6.06501e-12	2.00007e+00
9.70168e-01	6.28853e-12	2.00007e+00
9.80202e-01	6.50048e-12	2.00006e+00
9.90185e-01	6.69718e-12	2.00007e+00
1.00018e+00	6.91450e-12	2.00006e+00
1.01018e+00	7.09760e-12	2.00007e+00
1.02020e+00	7.31051e-12	2.00007e+00
1.03019e+00	7.51138e-12	2.00007e+00
1.04018e+00	7.69579e-12	2.00006e+00
1.05018e+00	7.87973e-12	2.00006e+00
1.06021e+00	8.08215e-12	2.00006e+00
1.07020e+00	8.26693e-12	2.00007e+00
1.08020e+00	8.44884e-12	2.00007e+00
1.09018e+00	8.63433e-12	2.00007e+00
1.10016e+00	8.80885e-12	2.00007e+00
1.11019e+00	9.02557e-12	2.00007e+00
1.12018e+00	9.16529e-12	2.00006e+00
1.13018e+00	9.34565e-12	2.00007e+00
1.14017e+00	9.51576e-12	2.00006e+00
1.15020e+00	9.68206e-12	2.00006e+00
1.16019e+00	9.86421e-12	2.00007e+00
1.17019e+00	1.00147e-11	2.00007e+00
1.18018e+00	1.01951e-11	2.00007e+00
1.19017e+00	1.03421e-11	2.00007e+00
1.20019e+00	1.05243e-11	2.00007e+00
1.21019e+00	1.06841e-11	2.00006e+00
1.22018e+00	1.08416e-11	2.00007e+00
1.23017e+00	1.09869e-11	2.00007e+00
1.24019e+00	1.11681e-11	2.00007e+00
1.25019e+00	1.13168e-11	2.00007e+00
1.26018e+00	1.14547e-11	2.00008e+00
1.27018e+00	1.16299e-11	2.00007e+00
1.28020e+00	1.17540e-11	2.00007e+00
1.29019e+00	1.19209e-11	2.00006e+00
1.30019e+00	1.20882e-11	2.00007e+00
1.31018e+00	1.22302e-11	2.00008e+00
1.32017e+00	1.23841e-11	2.00007e+00
1.33020e+00	1.25426e-11	2.00007e+00
1.34020e+00	1.27087e-11	2.00007e+00
1.35019e+00	1.28634e-11	2.00007e+00
1.36018e+00	1.30386e-11	2.00008e+00
1.37021e+00	1.31813e-11	2.00008e+00
1.38020e+00	1.33367e-11	2.00008e+00
1.39018e+00	1.34894e-11	2.00008e+00
1.40017e+00	1.36576e-11	2.00007e+00
1.41016e+00	1.38167e-11	2.00007e+00
1.42019e+00	1.39859e-11	2.00008e+00
1.43019e+00	1.41591e-11	2.00008e+00
1.44018e+00	1.43051e-11	2.00008e+00
1.45017e+00	1.44827e-11	2.00007e+00
1.46020e+00	1.46449e-11	2.00007e+00
1.47019e+00	1.48170e-11	2.00006e+00
1.48017e+00	1.50274e-11	2.00006e+00
1.49016e+00	1.52069e-11	2.00006e+00
1.50019e+00	1.53662e-11	2.00006e+00
1.51018e+00	1.55821e-11	2.00007e+00
1.52017e+00	1.57689e-11	2.00007e+00
1.53015e+00	1.59761e-11	2.00007e+00
1.54015e+00	1.61550e-11	2.00006e+00
1.55018e+00	1.63950e-11	2.00007e+00
1.56017e+00	1.66072e-11	2.00007e+00
