VDS	ID	IREF	VGB
8.69989e-05	-1.72470e-09	1.65263e-07	9.68656e-01
1.00639e-02	2.63587e-08	1.65284e-07	9.68618e-01
2.00707e-02	4.59790e-08	1.65283e-07	9.68629e-01
3.00761e-02	5.96275e-08	1.65285e-07	9.68655e-01
4.00766e-02	6.91066e-08	1.65280e-07	9.68651e-01
5.00792e-02	7.56544e-08	1.65278e-07	9.68653e-01
6.00793e-02	8.02317e-08	1.65279e-07	9.68656e-01
7.00873e-02	8.33988e-08	1.65279e-07	9.68651e-01
8.00872e-02	8.55511e-08	1.65278e-07	9.68678e-01
9.00872e-02	8.70757e-08	1.65277e-07	9.68617e-01
1.00090e-01	8.81258e-08	1.65277e-07	9.68662e-01
1.10091e-01	8.88510e-08	1.65278e-07	9.68658e-01
1.20086e-01	8.94170e-08	1.65279e-07	9.68668e-01
1.30092e-01	8.97768e-08	1.65282e-07	9.68632e-01
1.40091e-01	9.00327e-08	1.65279e-07	9.68639e-01
1.50091e-01	9.02228e-08	1.65280e-07	9.68646e-01
1.60089e-01	9.04077e-08	1.65278e-07	9.68665e-01
1.70083e-01	9.05162e-08	1.65282e-07	9.68657e-01
1.80083e-01	9.06516e-08	1.65281e-07	9.68649e-01
1.90080e-01	9.06587e-08	1.65281e-07	9.68642e-01
2.00082e-01	9.07169e-08	1.65279e-07	9.68675e-01
2.10093e-01	9.08016e-08	1.65280e-07	9.68648e-01
2.20089e-01	9.08394e-08	1.65280e-07	9.68669e-01
2.30122e-01	9.08448e-08	1.65281e-07	9.68652e-01
2.40119e-01	9.09366e-08	1.65282e-07	9.68660e-01
2.50109e-01	9.09502e-08	1.65281e-07	9.68668e-01
2.60101e-01	9.09515e-08	1.65280e-07	9.68638e-01
2.70136e-01	9.09736e-08	1.65280e-07	9.68664e-01
2.80126e-01	9.10405e-08	1.65279e-07	9.68662e-01
2.90120e-01	9.10916e-08	1.65278e-07	9.68672e-01
3.00112e-01	9.11110e-08	1.65281e-07	9.68654e-01
3.10141e-01	9.11079e-08	1.65285e-07	9.68675e-01
3.20136e-01	9.11426e-08	1.65283e-07	9.68660e-01
3.30131e-01	9.11851e-08	1.65285e-07	9.68654e-01
3.40123e-01	9.11573e-08	1.65286e-07	9.68655e-01
3.50117e-01	9.12146e-08	1.65285e-07	9.68659e-01
3.60146e-01	9.12081e-08	1.65282e-07	9.68651e-01
3.70139e-01	9.12234e-08	1.65287e-07	9.68654e-01
3.80133e-01	9.12441e-08	1.65280e-07	9.68672e-01
3.90126e-01	9.13166e-08	1.65282e-07	9.68663e-01
4.00159e-01	9.12898e-08	1.65278e-07	9.68664e-01
4.10152e-01	9.13503e-08	1.65283e-07	9.68679e-01
4.20147e-01	9.13755e-08	1.65284e-07	9.68657e-01
4.30138e-01	9.13822e-08	1.65282e-07	9.68669e-01
4.40130e-01	9.14039e-08	1.65280e-07	9.68654e-01
4.50159e-01	9.14161e-08	1.65277e-07	9.68659e-01
4.60152e-01	9.14053e-08	1.65278e-07	9.68655e-01
4.70145e-01	9.14574e-08	1.65273e-07	9.68635e-01
4.80139e-01	9.14338e-08	1.65272e-07	9.68658e-01
4.90167e-01	9.14365e-08	1.65275e-07	9.68667e-01
5.00157e-01	9.14874e-08	1.65278e-07	9.68641e-01
5.10157e-01	9.14993e-08	1.65284e-07	9.68659e-01
5.20151e-01	9.15174e-08	1.65282e-07	9.68661e-01
5.30179e-01	9.15452e-08	1.65281e-07	9.68654e-01
5.40177e-01	9.15639e-08	1.65279e-07	9.68637e-01
5.50168e-01	9.15645e-08	1.65280e-07	9.68660e-01
5.60162e-01	9.16059e-08	1.65279e-07	9.68653e-01
5.70154e-01	9.15924e-08	1.65281e-07	9.68645e-01
5.80179e-01	9.16266e-08	1.65277e-07	9.68654e-01
5.90170e-01	9.16264e-08	1.65281e-07	9.68658e-01
6.00159e-01	9.16652e-08	1.65282e-07	9.68670e-01
6.10150e-01	9.16371e-08	1.65280e-07	9.68688e-01
6.20180e-01	9.16959e-08	1.65279e-07	9.68663e-01
6.30173e-01	9.17088e-08	1.65278e-07	9.68669e-01
6.40164e-01	9.17150e-08	1.65280e-07	9.68655e-01
6.50156e-01	9.17497e-08	1.65282e-07	9.68656e-01
6.60148e-01	9.17420e-08	1.65281e-07	9.68678e-01
6.70177e-01	9.17730e-08	1.65284e-07	9.68681e-01
6.80167e-01	9.18223e-08	1.65283e-07	9.68697e-01
6.90166e-01	9.18210e-08	1.65286e-07	9.68656e-01
7.00157e-01	9.18117e-08	1.65283e-07	9.68678e-01
7.10191e-01	9.18625e-08	1.65288e-07	9.68664e-01
7.20181e-01	9.18770e-08	1.65287e-07	9.68683e-01
7.30175e-01	9.19092e-08	1.65286e-07	9.68687e-01
7.40164e-01	9.19064e-08	1.65290e-07	9.68688e-01
7.50192e-01	9.19545e-08	1.65285e-07	9.68673e-01
7.60184e-01	9.19039e-08	1.65285e-07	9.68684e-01
7.70176e-01	9.19038e-08	1.65286e-07	9.68666e-01
7.80168e-01	9.19527e-08	1.65287e-07	9.68697e-01
7.90159e-01	9.19773e-08	1.65287e-07	9.68680e-01
8.00182e-01	9.19717e-08	1.65285e-07	9.68702e-01
8.10174e-01	9.19695e-08	1.65288e-07	9.68694e-01
8.20171e-01	9.19954e-08	1.65288e-07	9.68664e-01
8.30168e-01	9.20047e-08	1.65289e-07	9.68674e-01
8.40193e-01	9.19883e-08	1.65287e-07	9.68665e-01
8.50188e-01	9.20208e-08	1.65289e-07	9.68675e-01
8.60179e-01	9.20117e-08	1.65287e-07	9.68704e-01
8.70169e-01	9.20461e-08	1.65293e-07	9.68694e-01
8.80159e-01	9.20635e-08	1.65296e-07	9.68678e-01
8.90188e-01	9.20802e-08	1.65293e-07	9.68690e-01
9.00177e-01	9.20539e-08	1.65287e-07	9.68695e-01
9.10170e-01	9.21072e-08	1.65289e-07	9.68697e-01
9.20160e-01	9.21074e-08	1.65287e-07	9.68681e-01
9.30190e-01	9.21006e-08	1.65285e-07	9.68673e-01
9.40183e-01	9.21459e-08	1.65285e-07	9.68717e-01
9.50179e-01	9.21260e-08	1.65279e-07	9.68683e-01
9.60172e-01	9.21287e-08	1.65280e-07	9.68679e-01
9.70162e-01	9.21710e-08	1.65284e-07	9.68682e-01
9.80191e-01	9.21702e-08	1.65286e-07	9.68682e-01
9.90184e-01	9.21935e-08	1.65288e-07	9.68702e-01
1.00018e+00	9.22050e-08	1.65286e-07	9.68684e-01
1.01017e+00	9.22498e-08	1.65288e-07	9.68694e-01
1.02019e+00	9.22567e-08	1.65290e-07	9.68698e-01
1.03018e+00	9.22641e-08	1.65289e-07	9.68699e-01
1.04018e+00	9.22457e-08	1.65292e-07	9.68684e-01
1.05017e+00	9.22634e-08	1.65291e-07	9.68696e-01
1.06020e+00	9.22722e-08	1.65289e-07	9.68708e-01
1.07019e+00	9.23107e-08	1.65284e-07	9.68707e-01
1.08018e+00	9.23177e-08	1.65284e-07	9.68687e-01
1.09018e+00	9.22840e-08	1.65279e-07	9.68713e-01
1.10017e+00	9.23526e-08	1.65281e-07	9.68696e-01
1.11020e+00	9.23535e-08	1.65281e-07	9.68723e-01
1.12019e+00	9.24043e-08	1.65282e-07	9.68712e-01
1.13018e+00	9.23719e-08	1.65277e-07	9.68692e-01
1.14017e+00	9.23682e-08	1.65280e-07	9.68717e-01
1.15020e+00	9.23525e-08	1.65279e-07	9.68705e-01
1.16019e+00	9.23683e-08	1.65277e-07	9.68707e-01
1.17018e+00	9.23669e-08	1.65279e-07	9.68681e-01
1.18018e+00	9.24126e-08	1.65280e-07	9.68720e-01
1.19016e+00	9.24023e-08	1.65284e-07	9.68695e-01
1.20019e+00	9.24356e-08	1.65280e-07	9.68687e-01
1.21018e+00	9.24466e-08	1.65280e-07	9.68704e-01
1.22017e+00	9.24546e-08	1.65278e-07	9.68680e-01
1.23016e+00	9.24355e-08	1.65274e-07	9.68701e-01
1.24019e+00	9.24563e-08	1.65276e-07	9.68708e-01
1.25018e+00	9.24758e-08	1.65271e-07	9.68689e-01
1.26017e+00	9.24841e-08	1.65271e-07	9.68702e-01
1.27017e+00	9.24949e-08	1.65271e-07	9.68695e-01
1.28020e+00	9.25312e-08	1.65270e-07	9.68694e-01
1.29019e+00	9.25045e-08	1.65270e-07	9.68683e-01
1.30018e+00	9.24996e-08	1.65270e-07	9.68674e-01
1.31017e+00	9.25233e-08	1.65270e-07	9.68687e-01
1.32016e+00	9.25249e-08	1.65268e-07	9.68693e-01
1.33019e+00	9.25586e-08	1.65274e-07	9.68701e-01
1.34018e+00	9.25725e-08	1.65274e-07	9.68706e-01
1.35018e+00	9.25492e-08	1.65273e-07	9.68685e-01
1.36017e+00	9.25525e-08	1.65271e-07	9.68676e-01
1.37020e+00	9.25648e-08	1.65275e-07	9.68701e-01
1.38019e+00	9.25937e-08	1.65277e-07	9.68698e-01
1.39017e+00	9.25742e-08	1.65279e-07	9.68687e-01
1.40017e+00	9.26162e-08	1.65278e-07	9.68686e-01
1.41016e+00	9.26243e-08	1.65278e-07	9.68675e-01
1.42019e+00	9.26100e-08	1.65281e-07	9.68695e-01
1.43018e+00	9.26174e-08	1.65282e-07	9.68696e-01
1.44018e+00	9.26657e-08	1.65281e-07	9.68701e-01
1.45017e+00	9.26285e-08	1.65281e-07	9.68718e-01
1.46019e+00	9.26747e-08	1.65280e-07	9.68696e-01
1.47018e+00	9.26580e-08	1.65286e-07	9.68707e-01
1.48017e+00	9.27126e-08	1.65284e-07	9.68698e-01
1.49016e+00	9.27086e-08	1.65285e-07	9.68682e-01
1.50019e+00	9.26983e-08	1.65283e-07	9.68688e-01
1.51018e+00	9.27057e-08	1.65281e-07	9.68698e-01
1.52017e+00	9.27335e-08	1.65279e-07	9.68715e-01
1.53016e+00	9.27066e-08	1.65281e-07	9.68709e-01
1.54015e+00	9.27690e-08	1.65280e-07	9.68697e-01
1.55019e+00	9.27304e-08	1.65279e-07	9.68703e-01
1.56017e+00	9.27521e-08	1.65280e-07	9.68709e-01
1.57017e+00	9.27764e-08	1.65282e-07	9.68712e-01
1.58015e+00	9.27575e-08	1.65285e-07	9.68676e-01
1.59018e+00	9.27422e-08	1.65285e-07	9.68698e-01
1.60017e+00	9.27933e-08	1.65285e-07	9.68715e-01
1.61016e+00	9.27939e-08	1.65285e-07	9.68697e-01
1.62015e+00	9.28144e-08	1.65285e-07	9.68700e-01
1.63014e+00	9.28323e-08	1.65283e-07	9.68694e-01
1.64016e+00	9.28387e-08	1.65281e-07	9.68706e-01
