VGB	ID	VDS
9.44376e-05	6.29544e-13	1.31058e-02
1.00931e-02	5.99742e-13	1.31017e-02
2.00946e-02	5.87702e-13	1.30991e-02
3.00969e-02	5.57184e-13	1.31041e-02
4.00944e-02	5.46694e-13	1.31059e-02
5.01045e-02	5.47528e-13	1.31050e-02
6.00983e-02	5.36680e-13	1.31030e-02
7.00971e-02	5.62429e-13	1.31044e-02
8.01021e-02	5.46455e-13	1.31034e-02
9.01003e-02	5.70059e-13	1.31036e-02
1.00104e-01	6.17623e-13	1.30974e-02
1.10104e-01	6.44088e-13	1.30987e-02
1.20095e-01	6.67095e-13	1.31022e-02
1.30093e-01	7.33495e-13	1.31045e-02
1.40095e-01	8.02994e-13	1.31002e-02
1.50097e-01	8.60453e-13	1.31054e-02
1.60099e-01	9.18031e-13	1.31056e-02
1.70094e-01	1.01960e-12	1.31057e-02
1.80099e-01	1.06502e-12	1.31060e-02
1.90093e-01	1.15752e-12	1.31050e-02
2.00093e-01	1.28949e-12	1.31024e-02
2.10124e-01	1.42467e-12	1.31028e-02
2.20106e-01	1.58489e-12	1.31071e-02
2.30104e-01	1.78528e-12	1.31056e-02
2.40135e-01	2.00868e-12	1.31072e-02
2.50120e-01	2.27034e-12	1.31093e-02
2.60138e-01	2.53081e-12	1.31096e-02
2.70126e-01	2.85602e-12	1.31133e-02
2.80113e-01	3.24106e-12	1.31032e-02
2.90136e-01	3.66163e-12	1.30986e-02
3.00123e-01	4.16541e-12	1.31011e-02
3.10107e-01	4.73142e-12	1.31023e-02
3.20129e-01	4.22728e-12	1.31067e-02
3.30123e-01	5.86605e-12	1.31052e-02
3.40104e-01	6.96051e-12	1.31035e-02
3.50133e-01	8.01599e-12	1.31080e-02
3.60124e-01	9.18102e-12	1.31106e-02
3.70114e-01	1.05023e-11	1.31086e-02
3.80142e-01	1.20410e-11	1.31040e-02
3.90131e-01	1.37887e-11	1.31066e-02
4.00119e-01	1.57579e-11	1.31030e-02
4.10141e-01	1.80948e-11	1.31044e-02
4.20129e-01	2.07729e-11	1.31098e-02
4.30116e-01	2.38177e-11	1.31054e-02
4.40139e-01	2.73634e-11	1.31029e-02
4.50129e-01	3.13899e-11	1.30972e-02
4.60114e-01	3.60923e-11	1.30970e-02
4.70143e-01	4.14672e-11	1.30944e-02
4.80131e-01	4.76922e-11	1.30881e-02
4.90118e-01	5.48604e-11	1.30960e-02
5.00136e-01	6.31726e-11	1.30976e-02
5.10120e-01	7.27173e-11	1.31017e-02
5.20148e-01	8.37184e-11	1.31010e-02
5.30139e-01	9.64826e-11	1.31003e-02
5.40130e-01	1.11254e-10	1.31040e-02
5.50154e-01	1.28324e-10	1.30995e-02
5.60143e-01	1.47931e-10	1.30991e-02
5.70132e-01	1.70729e-10	1.30974e-02
5.80149e-01	1.97241e-10	1.31042e-02
5.90138e-01	2.27606e-10	1.31025e-02
6.00120e-01	2.62955e-10	1.31051e-02
6.10152e-01	3.03900e-10	1.31111e-02
6.20126e-01	3.51225e-10	1.31052e-02
6.30118e-01	4.05978e-10	1.31091e-02
6.40140e-01	4.69875e-10	1.31130e-02
6.50131e-01	5.43229e-10	1.31062e-02
6.60116e-01	6.28586e-10	1.31046e-02
6.70137e-01	7.27562e-10	1.31021e-02
6.80124e-01	8.42105e-10	1.30978e-02
6.90120e-01	9.74982e-10	1.30961e-02
7.00137e-01	1.13076e-09	1.31006e-02
7.10128e-01	1.31015e-09	1.31011e-02
7.20110e-01	1.51813e-09	1.31045e-02
7.30136e-01	1.76008e-09	1.31052e-02
7.40124e-01	2.04136e-09	1.31047e-02
7.50109e-01	2.36758e-09	1.31056e-02
7.60141e-01	2.74834e-09	1.31039e-02
7.70127e-01	3.18815e-09	1.31059e-02
7.80149e-01	3.70334e-09	1.31064e-02
7.90140e-01	4.29811e-09	1.31054e-02
8.00122e-01	4.98936e-09	1.31061e-02
8.10146e-01	5.79559e-09	1.31041e-02
8.20136e-01	6.73091e-09	1.31047e-02
8.30126e-01	7.81452e-09	1.31032e-02
8.40152e-01	9.08080e-09	1.31039e-02
8.50138e-01	1.05461e-08	1.31031e-02
8.60129e-01	1.22495e-08	1.31018e-02
8.70151e-01	1.42314e-08	1.31023e-02
8.80135e-01	1.65278e-08	1.31011e-02
8.90123e-01	1.91972e-08	1.30986e-02
9.00145e-01	2.22983e-08	1.30972e-02
9.10134e-01	2.58707e-08	1.30962e-02
9.20124e-01	3.00206e-08	1.30970e-02
9.30148e-01	3.48432e-08	1.30960e-02
9.40135e-01	4.03741e-08	1.30951e-02
9.50124e-01	4.67772e-08	1.30951e-02
9.60146e-01	5.42007e-08	1.30944e-02
9.70134e-01	6.26629e-08	1.30934e-02
