VGB8	VSB8
-1.69542e-01	-5.00014e-01
-1.33546e-01	-4.90031e-01
-9.87945e-02	-4.80043e-01
-6.48854e-02	-4.70021e-01
-3.18637e-02	-4.60030e-01
4.27675e-04	-4.50045e-01
3.21003e-02	-4.40022e-01
6.29605e-02	-4.30034e-01
9.33954e-02	-4.20046e-01
1.24042e-01	-4.10022e-01
1.54647e-01	-4.00033e-01
1.85142e-01	-3.90010e-01
2.15167e-01	-3.80023e-01
2.44805e-01	-3.70039e-01
2.74229e-01	-3.60012e-01
3.03227e-01	-3.50025e-01
3.31978e-01	-3.40037e-01
3.60606e-01	-3.30012e-01
3.88883e-01	-3.20024e-01
4.16987e-01	-3.10037e-01
4.44989e-01	-3.00014e-01
4.72695e-01	-2.90025e-01
5.00220e-01	-2.80037e-01
5.27693e-01	-2.70020e-01
5.54877e-01	-2.60033e-01
5.82007e-01	-2.50009e-01
6.08890e-01	-2.40020e-01
6.35550e-01	-2.30031e-01
6.62153e-01	-2.20003e-01
6.88485e-01	-2.10016e-01
7.14755e-01	-1.99980e-01
7.40785e-01	-1.89983e-01
7.66631e-01	-1.79986e-01
7.92314e-01	-1.69987e-01
8.17835e-01	-1.59989e-01
8.43195e-01	-1.49986e-01
8.68390e-01	-1.39991e-01
8.93449e-01	-1.29990e-01
9.18336e-01	-1.19992e-01
9.43075e-01	-1.09993e-01
9.67685e-01	-9.99872e-02
9.92145e-01	-8.99890e-02
1.01648e+00	-7.99893e-02
1.04066e+00	-6.99904e-02
1.06474e+00	-5.99933e-02
1.08869e+00	-4.99887e-02
1.11257e+00	-3.99889e-02
1.13624e+00	-2.99876e-02
1.15983e+00	-1.99887e-02
1.18336e+00	-9.98628e-03
1.20694e+00	9.55343e-05
1.23022e+00	1.00931e-02
1.25337e+00	2.00930e-02
1.27646e+00	3.00940e-02
1.29944e+00	4.00932e-02
1.32232e+00	5.00921e-02
1.34512e+00	6.00935e-02
1.36785e+00	7.00923e-02
1.39046e+00	8.00927e-02
1.41300e+00	9.00947e-02
1.43544e+00	1.00095e-01
1.45782e+00	1.10093e-01
1.48010e+00	1.20092e-01
1.50229e+00	1.30093e-01
1.52444e+00	1.40094e-01
1.54648e+00	1.50094e-01
1.56845e+00	1.60094e-01
1.59036e+00	1.70094e-01
1.61220e+00	1.80095e-01
1.63399e+00	1.90092e-01
1.65572e+00	2.00090e-01
1.67735e+00	2.10122e-01
1.69891e+00	2.20106e-01
1.72041e+00	2.30097e-01
1.74191e+00	2.40120e-01
1.76327e+00	2.50111e-01
1.78468e+00	2.60132e-01
1.80589e+00	2.70124e-01
1.82705e+00	2.80108e-01
1.84825e+00	2.90132e-01
1.86934e+00	3.00122e-01
1.89035e+00	3.10109e-01
1.91135e+00	3.20135e-01
1.93227e+00	3.30122e-01
1.95312e+00	3.40113e-01
1.97401e+00	3.50138e-01
1.99478e+00	3.60127e-01
2.01543e+00	3.70116e-01
2.03613e+00	3.80137e-01
2.05674e+00	3.90127e-01
2.07735e+00	4.00117e-01
2.09792e+00	4.10140e-01
2.11844e+00	4.20128e-01
2.13886e+00	4.30113e-01
2.15936e+00	4.40135e-01
2.17970e+00	4.50121e-01
2.19998e+00	4.60112e-01
2.22032e+00	4.70140e-01
2.24055e+00	4.80130e-01
2.26071e+00	4.90118e-01
2.28095e+00	5.00138e-01
2.30104e+00	5.10124e-01
2.32118e+00	5.20146e-01
2.34118e+00	5.30133e-01
2.36124e+00	5.40123e-01
2.38121e+00	5.50148e-01
2.40111e+00	5.60140e-01
2.42102e+00	5.70128e-01
2.44088e+00	5.80147e-01
2.46067e+00	5.90137e-01
2.48044e+00	6.00125e-01
2.50022e+00	6.10151e-01
2.51992e+00	6.20137e-01
2.53955e+00	6.30125e-01
2.55924e+00	6.40148e-01
2.57875e+00	6.50137e-01
2.59830e+00	6.60124e-01
2.61790e+00	6.70146e-01
2.63740e+00	6.80137e-01
2.65689e+00	6.90124e-01
2.67637e+00	7.00144e-01
2.69577e+00	7.10135e-01
2.71511e+00	7.20122e-01
2.73455e+00	7.30143e-01
2.75386e+00	7.40132e-01
2.77314e+00	7.50119e-01
2.79254e+00	7.60149e-01
2.81173e+00	7.70138e-01
2.83098e+00	7.80158e-01
2.85016e+00	7.90144e-01
2.86926e+00	8.00128e-01
2.88846e+00	8.10156e-01
2.90755e+00	8.20142e-01
2.92659e+00	8.30131e-01
2.94570e+00	8.40157e-01
2.96471e+00	8.50145e-01
2.98370e+00	8.60132e-01
3.00270e+00	8.70154e-01
3.02165e+00	8.80140e-01
3.04057e+00	8.90126e-01
3.05949e+00	9.00148e-01
3.07837e+00	9.10139e-01
3.09718e+00	9.20125e-01
3.11607e+00	9.30151e-01
3.13483e+00	9.40137e-01
3.15357e+00	9.50128e-01
3.17240e+00	9.60150e-01
3.19112e+00	9.70141e-01
3.20983e+00	9.80130e-01
3.22858e+00	9.90153e-01
3.24718e+00	1.00014e+00
3.26583e+00	1.01013e+00
